Name,Course_title,Course_name,Session,Class_Number,Career,Units,Grading,Description,Enrollment_Requirements,Add_Consent,Instructor,Meets,Dates,Room,Instruction_Mode,Campus,Location,Components,Status
Section: BK04-GUI (17497) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Gregory Aloupis Status: Open,CS-UY 410X - BK04,UNDERGRADUATE GUIDED STUDIES IN COMPUTER SCIENCE,Regular Academic Session,17497,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"Students work on an individual basis under the supervision of a full-time faculty member in the department. With permission of the department, such students may substitute two semesters of this course for Software Engineering and Design Project requirements.| Prerequisite: Permission of the instructor and the department.",None,Department Consent Required,Greg Aloupis,TBA,01/27/2020 - 05/11/2020,None,In-Person,Washington Square,Brooklyn Campus,Guided Studies Required,Open
Section: BK07-GUI (17514) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Eugene J Callahan Status: Closed,CS-UY 410X - BK07,UNDERGRADUATE GUIDED STUDIES IN COMPUTER SCIENCE,Regular Academic Session,17514,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"Students work on an individual basis under the supervision of a full-time faculty member in the department. With permission of the department, such students may substitute two semesters of this course for Software Engineering and Design Project requirements.| Prerequisite: Permission of the instructor and the department.",None,Department Consent Required,Eugene J Callahan,TBA,01/27/2020 - 05/11/2020,None,In-Person,Washington Square,Brooklyn Campus,Guided Studies Required,Closed
Section: BK08-LEC (17397) Topic: VISUAL ANALYTICS Session: Regular Academic Session Days/Times: Th 3:20pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Enrico Bertini Status: Closed This is a combined section class,CS-UY 3943 - BK08,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17397,Undergraduate,3 units,Ugrd Tandon Graded,VISUAL ANALYTICS,None,This three-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,Enrico Bertini,Th 3:20PM - 5:50PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 775 Loc: Brooklyn Campus,In-Person,Lecture Required,Brooklyn Campus,Lecture Required,Closed
Section: DLAB-LAB (17274) Session: Regular Academic Session Days/Times: Fr 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: John Sterling Status: Closed,CS-UY 2124 - DLAB,Object Oriented Programming,Regular Academic Session,17274,Undergraduate,0 units,Ugrd Tandon Graded,"This intermediate-level programming course teaches object-oriented programming in C++. Topics: Pointers, dynamic memory allocation and recursion. Classes and objects including constructors, destructors, methods (member functions) and data members. Access and the interface to relationships of classes including composition, association and inheritance. Polymorphism through function overloading operators. Inheritance and templates. Use of the standard template library containers and algorithms. | Prerequisite: CS-UY 1134 (C- or better); Corequisite: EX-UY 1",None,CS-UY 2124 Prerequisite: CS-UY 1134 with C- or better; Corequisite:  EX-UY 1,John Sterling,Fr 2:00PM - 4:50PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 774 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Closed
Section: A3LB-LAB (16830) Session: Regular Academic Session Days/Times: We 2:30pm - 5:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Azeez Jennudinbhai Bhavnagarwala Status: Open,CS-UY 2204 - A3LB,DIGITAL LOGIC AND STATE MACHINE DESIGN,Regular Academic Session,16830,Undergraduate,0 units,Ugrd Tandon Graded,"This course covers combinational and sequential digital circuits. Topics: Introduction to digital systems. Number systems and binary arithmetic. Switching algebra and logic design. Error detection and correction. Combinational integrated circuits, including adders. Timing hazards. Sequential circuits, flipflops, state diagrams and synchronous machine synthesis. Programmable Logic Devices, PLA, PAL and FPGA. Finite-state machine design. Memory elements. A grade of C or better is required of undergraduate computer-engineering majors. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) or CS-UY 1133 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 (C- or better) or ENGR-UH 1000 (C- or better) | Prerequisite for Shanghai Students: CSCI-SHU 101 (C- or better)",None,"Prerequisite: CS 1114 (C- or better) or CS 1133 (C- or better).  ABET competencies: a, c, e, k.",Azeez Jennudinbhai Bhavnagarwala,We 2:30PM - 5:20PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 227 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: ALAB-LAB (16803) Session: Regular Academic Session Days/Times: We 3:00pm - 4:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: John Neil Carter Status: Open,CS-UY 2163 - ALAB,INTRODUCTION TO PROGRAMMING IN C,Regular Academic Session,16803,Undergraduate,0 units,Ugrd Tandon Graded,"This course covers programming in C. Topics: The syntax, variables, expressions, working environment, printf and scanf. Function calls and returns. Branching and looping. Relational operators. Bit-wise operators. Boolean expressions. Recursion. Pointers. Data structures: Arrays, structs, lists, stacks, trees, queues. String processing. Low level memory management, dynamic memory allocation. The preprocessor. File processing : fprintf, fscanf, fseek, sscanf. Concurrency, fork, pipe, signal. | Prerequisites: (CS-UY 1114 or CS-UY 1133) and ECE majors or department permission.  For CS majors and CS minors, this course does not count as a CS elective.",None,Prerequisites: Prerequisites: (CS-UY 1114 or CS-UY 1133) and ECE majors or department permission.,John N Carter,We 3:00PM - 4:20PM,01/27/2020 - 05/11/2020,3 MetroTechCtr Rm 9.007 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK15-GUI (23347) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Joseph Charles Bonneau Status: Open,CS-UY 410X - BK15,UNDERGRADUATE GUIDED STUDIES IN COMPUTER SCIENCE,Regular Academic Session,23347,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"Students work on an individual basis under the supervision of a full-time faculty member in the department. With permission of the department, such students may substitute two semesters of this course for Software Engineering and Design Project requirements.| Prerequisite: Permission of the instructor and the department.",None,Department Consent Required,Joseph Charles Bonneau,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Guided Studies Required,Open
Section: LB8-LAB (17155) Session: Regular Academic Session Days/Times: Fr 11:00am - 1:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Open,CS-UY 1134 - LB8,Data Structures and Algorithms,Regular Academic Session,17155,Undergraduate,0 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,CS-UY 1134 Prerequisite: CS-UY 1114 (C- or better); Corequisite: EX-UY 1,Itay Tal,Fr 11:00AM - 1:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 331 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: A-LEC (16696) Session: Regular Academic Session Days/Times: TuTh 2:00pm - 3:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Gustavo Sandoval Status: Open,CS-UY 3224 - A,INTRO TO OPERATING SYSTM,Regular Academic Session,16696,Undergraduate,4 units,Ugrd Tandon Graded,"This course studies the fundamental concepts and principles of operating systems. Batch, spooling and multiprogramming systems are introduced. The parts of an operating system are described in terms of their functions, structure and implementation. Basic policies for allocating resources are discussed. | Prerequisites for Brooklyn Students: CS-UY 2214 AND (CS-UY 2134 or CS-UY 1134) AND (CS-UY 2124 or CS-UY 1124) (C- or better). | Prerequisite for Abu Dhabi Students: (ENGR-UH 3510 or CS-UH 1050) (C- or better) AND (CS-UH 2010 or ENGR-UH 3511) | Prerequisites for Shanghai Students: CSCI-SHU 210 (C- or better) AND CENG-SHU 202",None,"CS-UY 3224 Prerequisites: CS-UY 2214 and (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better). | Alternative prerequisites for Shanghai students; see course description. ABET competencies: c, e, k.",Gustavo Sandoval,TuTh 2:00PM - 3:50PM,01/27/2020 - 05/11/2020,"370 Jay Street, Room 202",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: BK01-LEC (17037) Topic: ARTIFICIAL INTELLIGENCE GAMES Session: Regular Academic Session Days/Times: Tu 3:20pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Julian Togelius Status: Open This is a combined section class,CS-UY 3943 - BK01,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17037,Undergraduate,3 units,Ugrd Tandon Graded,ARTIFICIAL INTELLIGENCE GAMES,None,This three-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,Julian Togelius,Tu 3:20PM - 5:50PM,01/27/2020 - 05/11/2020,3 MetroTechCtr Rm 9.011 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A-LEC (16685) Session: Regular Academic Session Days/Times: MoWe 9:00am - 10:20am Dates: 01/27/2020 - 05/11/2020 Instructor: Phyllis Frankl Status: Closed,CS-UY 3083 - A,Introduction to Databases,Regular Academic Session,16685,Undergraduate,3 units,Ugrd Tandon Graded,"This course introduces database systems and their approach as a mechanism to model the real world. The course covers data models (relational, object-oriented), physical database design, query languages, query processing and optimization, as well as transaction management techniques. Implementation issues, object oriented and distributed databases also are introduced. | Prerequisites for Brooklyn Students: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314 | Prerequisites for Abu Dhabi Students: (ENGR-UH 3510 or CS-UH 1050) (C- or better) and CS-UH 1002 | Prerequisites for Shanghai Students: CSCI-SHU 210 (C- or better) and CSCI-SHU 2314",None,Prerequisites: (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314.,Phyllis Frankl,MoWe 9:00AM - 10:20AM,01/27/2020 - 05/11/2020,"Jacobs Academic Bldg, Rm 475 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: BK02-PRO (17088) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,CS-UY 394X - BK02,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17088,Undergraduate,1 - 4 units,Ugrd Tandon Graded,This variable-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,None,Department Consent Required,Staff,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Project Required,Open
Section: LB6-LAB (17153) Session: Regular Academic Session Days/Times: Fr 11:00am - 1:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Closed,CS-UY 1134 - LB6,Data Structures and Algorithms,Regular Academic Session,17153,Undergraduate,0 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,CS-UY 1134 Prerequisite: CS-UY 1114 (C- or better); Corequisite: EX-UY 1,Itay Tal,Fr 11:00AM - 1:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 221 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Closed
Section: B-LEC (17276) Session: Regular Academic Session Days/Times: TuTh 11:00am - 12:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Fred J. Strauss Status: Open,CS-UY 4513 - B,Software Engineering,Regular Academic Session,17276,Undergraduate,3 units,Ugrd Tandon Graded,"Focusing on software engineering, the course introduces techniques to specify, design, test and document medium and large software systems. Design techniques include information engineering, object orientation and complexity measures. Also covered are testing methods, such as path testing, exhaustive test models and construction of test data. An introduction to software tools and project management techniques is presented. Student projects involve team software development and tracking. | Prerequisites: Juniors or higher majoring in Computer Science, Computer Engineering or Electrical and Computer Engineering. Co-requisite: CS-UY 3224",None,"CS-UY 4513 Prerequisites: seniors majoring in Computer Science, Computer Engineering or Electrical and Computer Engineering. Co-requisite: CS-UY 3224",Fred Strauss,TuTh 11:00AM - 12:20PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 774 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A1RC-RCT (21499) Session: Regular Academic Session Days/Times: Fr 10:30am - 12:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Anam Waheed Status: Open,CS-UY 2214 - A1RC,COMPUTER ARCHITECTURE AND ORGANIZATION,Regular Academic Session,21499,Undergraduate,0 units,Ugrd Tandon Graded,"This course covers a top-down approach to computer design. Topics: Computer architecture, introduction to assembly language programming and machine language set design. Computer organization, logical modules; CPU, memory and I/O units. Instruction cycles, the datapath and control unit. Hardwiring and microprogramming. The memory subsystem and timing. I/O interface, interrupts, programmed I/O and DMA. Introduction to pipelining and memory hierarchies. Fundamentals of computer networks. | Prerequisite for Brooklyn Engineering Students: CS-UY 2204 (C- or better) for computer engineering majors; (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314 for computer science majors. Students who are neither computer engineering majors nor computer science majors must take either CS-UY 2204 (C- or better) OR (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314.| Prerequisite for Abu Dhabi Students: ENGR-AD 121. | Prerequisites for Shanghai Students: CSCI-SHU 2314 and CSCI-SHU 210 (C- or better) or CENG-SHU 201. ABET competencies: a, c, e.",None,Prerequisites: CS-UY 2204 (C- or better) for Comp Eng majors; (CS-UY 2134 or 1134) and (CS-UY 2124 or 1124) (C- or better); and MA-UY 2314 for Comp Sci majors.| Alternative prereq for Abu Dhabi and Shanghai students; refer to course description.,Anam Waheed,Fr 10:30AM - 12:20PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 205 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Recitation Required, Lecture Required",Open
Section: BK07-PRO (17181) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,CS-UY 394X - BK07,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17181,Undergraduate,1 - 4 units,Ugrd Tandon Graded,This variable-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,None,Department Consent Required,Staff,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Project Required,Open
Section: A-LEC (17282) Session: Regular Academic Session Days/Times: MoWe 9:00am - 10:20am Dates: 01/27/2020 - 05/11/2020 Instructor: Christopher Paul Musco Status: Open This is a combined section class,CS-UY 4563 - A,Introduction to Machine Learning,Regular Academic Session,17282,Undergraduate,3 units,Ugrd Tandon Graded,"This course provides a hands on approach to machine learning and statistical pattern recognition.  The course describes fundamental algorithms for linear regression, classification, model selection, support vector machines, neural networks, dimensionality reduction and clustering.  The course includes computer exercises on real and synthetic data using current software tools.  A number of applications are demonstrated on audio and image processing, text classification, and more. Students should have competency in computer programming.  | Prerequisite for Brooklyn Students: CS-UY 1134 AND (MA-UY 2034, MA-UY 2034G, MA-UY 3044 or MA-UY 3054) AND (MA-UY 2224, MA-UY 2222, MA-UY 2233, ECE-UY 2233, MA-UY 3012, MA-UY 3014, or MA-UY 3514) | Prerequisite for Abu Dhabi Students: (ENGR-UH 3510 or CS-UH 1050) (C- or better) AND (MATH-UH 1022 or MATH-UH 1023) AND (MATH-UH 2011Q or ENGR-UH 2010Q) | Prerequisite for Shanghai Students: CSCI-SHU 210 (C- or better) AND (MATH-SHU 140 or MATH-SHU 141) AND MATH-SHU 235",None,"CS-UY 4563 Prerequisites: EE-UY 2233, MA-UY 2233, MA-UY 3012, MA-UY 2224 or MA-UY 2222",Christopher Paul Musco,MoWe 9:00AM - 10:20AM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 775B Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: CLAB-LAB (17273) Session: Regular Academic Session Days/Times: Fr 11:00am - 1:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: John Sterling Status: Closed,CS-UY 2124 - CLAB,Object Oriented Programming,Regular Academic Session,17273,Undergraduate,0 units,Ugrd Tandon Graded,"This intermediate-level programming course teaches object-oriented programming in C++. Topics: Pointers, dynamic memory allocation and recursion. Classes and objects including constructors, destructors, methods (member functions) and data members. Access and the interface to relationships of classes including composition, association and inheritance. Polymorphism through function overloading operators. Inheritance and templates. Use of the standard template library containers and algorithms. | Prerequisite: CS-UY 1134 (C- or better); Corequisite: EX-UY 1",None,CS-UY 2124 Prerequisite: CS-UY 1134 with C- or better; Corequisite:  EX-UY 1,John Sterling,Fr 11:00AM - 1:50PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 777 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Closed
Section: BK09-RSC (23352) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,CS-UY 420X - BK09,UNDERGRADUATE RESEARCH IN COMPUTER SCIENCE,Regular Academic Session,23352,Undergraduate,2 - 4 units,Ugrd Tandon Graded,"The student conducts research under the supervision of a faculty member, possibly leading to results publishable in the computer science literature. A substantial commitment to this work is expected. The research project may be one or two semesters, to be determined in consultation with the faculty supervisor. Students must submit written and/or oral reports at the conclusion of the project. Students who are interested in taking this course should speak to faculty members well in advance about research opportunities and background needed. | Prerequisite: permission of instructor",None,Department Consent Required,Staff,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Research Required,Open
Section: ALAB-LAB (17159) Session: Regular Academic Session Days/Times: Fr 8:00am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: John Sterling Status: Closed,CS-UY 2124 - ALAB,Object Oriented Programming,Regular Academic Session,17159,Undergraduate,0 units,Ugrd Tandon Graded,"This intermediate-level programming course teaches object-oriented programming in C++. Topics: Pointers, dynamic memory allocation and recursion. Classes and objects including constructors, destructors, methods (member functions) and data members. Access and the interface to relationships of classes including composition, association and inheritance. Polymorphism through function overloading operators. Inheritance and templates. Use of the standard template library containers and algorithms. | Prerequisite: CS-UY 1134 (C- or better); Corequisite: EX-UY 1",None,CS-UY 2124 Prerequisite: CS-UY 1134 with C- or better; Corequisite:  EX-UY 1,John Sterling,Fr 8:00AM - 10:50AM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 774 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Closed
Section: LB12-LAB (17438) Session: Regular Academic Session Days/Times: Fr 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Closed,CS-UY 1134 - LB12,Data Structures and Algorithms,Regular Academic Session,17438,Undergraduate,0 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,CS-UY 1134 Prerequisite: CS-UY 1114 (C- or better); Corequisite: EX-UY 1,Itay Tal,Fr 2:00PM - 4:50PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 775B Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Closed
Section: LB13-LAB (17446) Session: Regular Academic Session Days/Times: Fr 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB13,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,17446,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 2:00PM - 4:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 213 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: B2RC-RCT (21502) Session: Regular Academic Session Days/Times: Fr 4:30pm - 6:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Anam Waheed Status: Open,CS-UY 2214 - B2RC,COMPUTER ARCHITECTURE AND ORGANIZATION,Regular Academic Session,21502,Undergraduate,0 units,Ugrd Tandon Graded,"This course covers a top-down approach to computer design. Topics: Computer architecture, introduction to assembly language programming and machine language set design. Computer organization, logical modules; CPU, memory and I/O units. Instruction cycles, the datapath and control unit. Hardwiring and microprogramming. The memory subsystem and timing. I/O interface, interrupts, programmed I/O and DMA. Introduction to pipelining and memory hierarchies. Fundamentals of computer networks. | Prerequisite for Brooklyn Engineering Students: CS-UY 2204 (C- or better) for computer engineering majors; (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314 for computer science majors. Students who are neither computer engineering majors nor computer science majors must take either CS-UY 2204 (C- or better) OR (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314.| Prerequisite for Abu Dhabi Students: ENGR-AD 121. | Prerequisites for Shanghai Students: CSCI-SHU 2314 and CSCI-SHU 210 (C- or better) or CENG-SHU 201. ABET competencies: a, c, e.",None,Prerequisites: CS-UY 2204 (C- or better) for Comp Eng majors; (CS-UY 2134 or 1134) and (CS-UY 2124 or 1124) (C- or better); and MA-UY 2314 for Comp Sci majors.| Alternative prereq for Abu Dhabi and Shanghai students; refer to course description.,Anam Waheed,Fr 4:30PM - 6:20PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 707 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Recitation Required, Lecture Required",Open
Section: LB6-LAB (17439) Session: Regular Academic Session Days/Times: Fr 8:00am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB6,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,17439,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 8:00AM - 10:50AM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 207 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK01-PRO (16697) Session: Regular Academic Session Days/Times: MoWe 8:30am - 9:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Fred J. Strauss Status: Open,CS-UY 4523 - BK01,Design Project,Regular Academic Session,16697,Undergraduate,3 units,Ugrd Tandon Graded,"Students or several students work with a faculty member and/or graduate students on a current topic in computer science. Each term, a project course with a particular theme is offered by the Department of Computer and Information Science. A faculty member assigns individual or group projects. The project course is highly structured and supervised closely by faculty. Students are expected to use the design and project-management skills they learned in CS-UY 4513 Software Engineering. Alternatively, students may work with a faculty member on an individual project of mutual interest. A written report and oral presentation are required. | Prerequisite: CS-UY 4513 or CS-UY 3513.",None,Prerequisite: CS 4513.,Fred Strauss,MoWe 8:30AM - 9:50AM,01/27/2020 - 05/11/2020,3 MetroTechCtr Rm 9.009 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Project Required,Open
Section: LEC-LEC (17175) Session: Regular Academic Session Days/Times: Th 6:00pm - 8:30pm Dates: 01/27/2020 - 05/11/2020 Instructor: Anthony J Duhaime-Candeias Status: Closed This is a combined section class,CS-UY 4773 - LEC,Penetration Testing and Vulnerability Analysis,Regular Academic Session,17175,Undergraduate,3 units,Ugrd Tandon Graded,"The course will start off with an in-depth review of the exploitation mitigations introduced in modern operating systems. The instructors will demonstrate their limitations through simple examples and gradually develop the basic exploitation techniques into more complicated methods applicable to real-world exploitation. Unlike most other exploitation courses, we will focus on approaching exploitation as a creative problem-solving process rather than an exercise of applying cookbook techniques to common types of vulnerabilities. Most of the course will focus on the hands-on application of the material through exercises and leading the students through the development of reliable exploits for recently patched vulnerabilities in widely used software. | Prerequisites for Brooklyn Engineering Students: CS-UY 3933 and (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better).  | Prerequisites for CAS Students: CS-UY 3933 and CSCI-UA 201. | Prerequisites for Abu Dhabi Students: CS-UY 3933 and CS-AD 103",None,Prerequisites for Brooklyn Engineering Students: CS-UY 3933 and (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better). | Alternative prerequisites for CAS and Abu Dhabi Students; refer to course description.,Anthony J Duhaime-Candeias,Th 6:00PM - 8:30PM,01/27/2020 - 05/11/2020,3 MetroTechCtr Rm 812 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: CLEC-LEC (17144) Session: Regular Academic Session Days/Times: MoWe 10:30am - 11:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Closed,CS-UY 1134 - CLEC,Data Structures and Algorithms,Regular Academic Session,17144,Undergraduate,4 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,Department Consent Required,Itay Tal,MoWe 10:30AM - 11:50AM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 775B Loc: Brooklyn Campus,In-Person,"Laboratory Required, Lecture Required",Brooklyn Campus,"Laboratory Required, Lecture Required",Open
